master_id,region,region_number,region_name,region_prefectures,site_name,site_name_dup_fix,site_name_period_mean,site_name_rom,site_occurances,site_period_occurances,location,specimin_number,sex,sex_unified,age_range,age_min,age_max,age_min_noxon,age_max_noxon,over_5_values,percentage_value_5_19,output_values_5_19,range_value_5_under,output_values_0_5,age_mean,culture_area,period,period_start,period_end,period_range,calBPmax,calBPmin,phase_start,phase_end,phase_mean_round,period_eng,period_min,period_max,period_numeric,period_min_kudo,period_max_kudo,period_min_noxon,period_max_noxon,period_min_neg_noxon,period_max_neg_noxon,period_mean_noxon,period_mean_round_noxon,burial_posture_1,burial_posture_2,cephalic_direction,burial_shape_1,burial_shape_2,burial_postition_location,upper_construction,lower_construction,burial_type,dental_equation,personal_accessories-_contents_location,grave_good_number_of,red_pigment_application_location,bone_lesions_presence_location_description,"injuries_sustained_during_life_presence,_location_description",frontal_suture,interparietal_bone_inca,right_lamboidal_sutural_ossicles,left_lamboidal_sutural_ossicles,right_zygomatic_horizontal_suture_remaining,left_zygomatic_horizontal_suture_remaining,right_supraorbital_foramen,left_supraorbital_foramen,right_condyloid_canal,left_condyloid_canal,right_hypoglossal_canal_bisects,left_hypoglossal_canal_bisects,right_parietal _foramen,left_parietal_foramen,references
398,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",向ノ台貝塚,向ノ台貝塚,向ノ台貝塚-11295,Mukaenodai Shellmound,4,153,,１号人骨,女性 (female),X,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",向ノ台貝塚,向ノ台貝塚,向ノ台貝塚-11295,Mukaenodai Shellmound,4,153,,２号人骨,女性 (female),X,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",向ノ台貝塚,向ノ台貝塚,向ノ台貝塚-11295,Mukaenodai Shellmound,4,153,,３号人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",向ノ台貝塚,向ノ台貝塚,向ノ台貝塚-11295,Mukaenodai Shellmound,4,153,,４号人骨,遺存状態不良で不明 (undetermined),X,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",城ノ台南貝塚,城ノ台南貝塚,城ノ台南貝塚-11295,Shironodaiminami Shellmound,2,153,,２号人骨,女性 (male),X,壮年期(21-39),21,39,21,39,1,0,0,0,0,30,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,伏臥 (prone),屈葬(crouched burial),E,単葬,単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),MMMPPC/IIICPPMMM : MMMPPC//IICPPMMM,,石鉄,なし,,,あり,,,,,,,,,,,,,,千葉大学文化館考古学研究室１９９４
403,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",城ノ台南貝塚,城ノ台南貝塚,城ノ台南貝塚-11295,Shironodaiminami Shellmound,2,153,,３号人骨,男性 (male),X,壮年期(21-39),21,39,21,39,1,0,0,0,0,30,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,下臥右側,屈葬(crouched burial),NW,単葬,単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),//MPPCIIICPPM// : /////////I/P/MMM,,,なし,,,なし,,,,,,,,,,,,,,千葉大学文化館考古学研究室１９９４
404,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",大谷寺洞穴,大谷寺洞穴,大谷寺洞穴-11295,Oyaji Cave,2,153,,早期人骨,男性,M,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",飛ノ台貝塚,飛ノ台貝塚,飛ノ台貝塚-11295,Tobinodai Shellmound,2,153,,１号,男性,M,壮年期(21-39),21,39,21,39,1,0,0,0,0,30,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,下臥右側,屈葬(crouched burial),N,単葬,合葬(group burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),M///PCIIIC/PM/M : 下顎なし,,,なし,確認できます,確認できます,,,,,,,,,,,,,,,未報告
406,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",飛ノ台貝塚,飛ノ台貝塚,飛ノ台貝塚-11295,Tobinodai Shellmound,2,153,,２号,女性,F,思春期(13-16),13,16,13,16,1,1,1,0,0,14.5,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,下臥左側,屈葬(crouched burial),N,単葬,合葬(group burial),土坑内(earthen pit),確認できます,確認できます,土坑墓(earthen grave),/MMPP////I////// : /MM/PPIII/PPMM/,,,なし,確認できます,確認できます,,,,,,,,,,,,,,,未報告
407,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",平坂貝塚,平坂貝塚,平坂貝塚-11295,Hirasaka Shellmound,1,153,,１９４９年度出土人骨,男性,M,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,-15540,-7050,-11295,Initial,早期(Initial),早期(Initial),,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,伏臥 (prone),伸展葬(extended burial),S,単葬,単独葬(individual burial),更地(empty lot),確認できます,確認できます,不明,//////////////// : ////////////////,,,なし,確認できます,確認できます,なし,なし,あり,なし,不明,不明,なし,あり,不明,不明,不明,不明,不明,不明,岡本勇１９５３
