master_id,region,region_number,region_name,region_prefectures,site_name,site_name_dup_fix,site_name_period_mean,site_name_rom,site_occurances,site_period_occurances,location,specimin_number,sex,sex_unified,age_range,age_min_noxon,age_max_noxon,over_5_values,percentage_value_5_19,output_values_5_19,range_value_5_under,output_values_0_5,age_mean,culture_area,period,period_start,period_end,calBPmax,calBPmin,phase_start,phase_end,references
398,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",向ノ台貝塚,向ノ台貝塚,向ノ台貝塚-11295,Mukaenodai Shellmound,4,153,,１号人骨,女性 (female),X,不明,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,15540,7050,-15540,-7050,Yamada 2006
399,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",向ノ台貝塚,向ノ台貝塚,向ノ台貝塚-11295,Mukaenodai Shellmound,4,153,,２号人骨,女性 (female),X,不明,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,15540,7050,-15540,-7050,Yamada 2006
400,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",向ノ台貝塚,向ノ台貝塚,向ノ台貝塚-11295,Mukaenodai Shellmound,4,153,,３号人骨,遺存状態不良で不明,U,不明,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,15540,7050,-15540,-7050,Yamada 2006
401,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",向ノ台貝塚,向ノ台貝塚,向ノ台貝塚-11295,Mukaenodai Shellmound,4,153,,４号人骨,遺存状態不良で不明 (undetermined),X,不明,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,15540,7050,-15540,-7050,Yamada 2006
402,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",城ノ台南貝塚,城ノ台南貝塚,城ノ台南貝塚-11295,Shironodaiminami Shellmound,2,153,,２号人骨,女性 (male),X,壮年期(21-39),21,39,1,0,0,0,0,30,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,15540,7050,-15540,-7050,Yamada 2006
403,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",城ノ台南貝塚,城ノ台南貝塚,城ノ台南貝塚-11295,Shironodaiminami Shellmound,2,153,,３号人骨,男性 (male),X,壮年期(21-39),21,39,1,0,0,0,0,30,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,15540,7050,-15540,-7050,Yamada 2006
404,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",大谷寺洞穴,大谷寺洞穴,大谷寺洞穴-11295,Oyaji Cave,2,153,,早期人骨,男性,M,不明,U,U,0,#VALUE!,0,#VALUE!,0,U,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,15540,7050,-15540,-7050,Yamada 2006
405,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",飛ノ台貝塚,飛ノ台貝塚,飛ノ台貝塚-11295,Tobinodai Shellmound,2,153,,１号,男性,M,壮年期(21-39),21,39,1,0,0,0,0,30,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,15540,7050,-15540,-7050,Yamada 2006
406,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",飛ノ台貝塚,飛ノ台貝塚,飛ノ台貝塚-11295,Tobinodai Shellmound,2,153,,２号,女性,F,思春期(13-16),13,16,1,1,1,0,0,14.5,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,15540,7050,-15540,-7050,Yamada 2006
407,"4 ：関東・中部 - Kanto, Chubu : 茨城・栃木・群馬・千葉・東京・埼玉・神奈川・長野・山梨 : Ibaraki, Tochigi, Gunma, Chiba, Tokyo, Saitama, Kanagawa, Nagano, Yamanashi",4,"Kanto, Chubu","Fukui, Gifu, Mie, Shiga, Kyoto, Osaka, Nara, Wakayama, Hyogo ,Okayama, Hiroshima, Tottori, Shimane, Yamaguchi, Kagawa, Tokushima, Ehime, Kochi",平坂貝塚,平坂貝塚,平坂貝塚-11295,Hirasaka Shellmound,1,153,,１９４９年度出土人骨,男性,M,熟年期(40-59),40,59,1,0,0,0,0,49.5,第四地域（関東～中部）,早期(Initial),Initial Jomon,Initial Jomon,15540,7050,-15540,-7050,Yamada 2006
