PithouseID,OriginalID,SiteID,PitNum,BuildNum,Length,Width,RecFloor,ShapeFormula,Shape,PillarPosition,PillarConfig,Rebuild,PubPeriod,PhaseStart,PhaseEnd,PhaseStartRom,PhaseEndRom,TotalPhaseRom,NumPhaseStart,NumPhaseEnd,NumPhaseMed,topo_after1,topo_after2,topo_after3,topo_after4,topo_after5,topo_after6,topo_after7,topo_after8,topo_after9,topo_after10,topo_after11,topo_after12,topo_after13,Reference,PostDataUsed,Notes,TopologyNotes
P144-1085-1,85-1号敷石住居跡,S144,1085,1,uk,uk,uk,uk,敷石住居跡,uk,uk,uk,縄文時代中末葉,中期後葉,中期後葉,Late Middle Jomon,Late Middle Jomon,Late Middle Jomon~Late Middle Jomon,-4735,-4395,-4565,,,,,,,,,,,,,,2,no,Paved stone floor dwelling. No postholes or walls remaining. Size and exact shape unknown. Period listed as 縄文時代中末葉 which was treated as start and end period of 中期後葉.,
P146-1002-1,2号住居跡,S146,1002,1,4.63,4.43,,oval,円形,Main,6,n,中期中葉,中期中葉,中期中葉,Mid Middle Jomon,Mid Middle Jomon,Mid Middle Jomon~Mid Middle Jomon,-5075,-4735,-4905,,,,,,,,,,,,,,4,diameter,,
P146-1003-1,3号住居跡,S146,1003,1,4.71,4.08,,oval,不整円形,MainWall,,n,中期後葉,中期後葉,中期後葉,Late Middle Jomon,Late Middle Jomon,Late Middle Jomon~Late Middle Jomon,-4735,-4395,-4565,,,,,,,,,,,,,,4,no,Appears to have additional wall posts which aren't given IDs or discussed,
P146-1004-1,4号住居跡,S146,1004,1,8.87,uk,,uk,不整楕円形,MainWall,6,y,中期前葉~中期中葉,中期前葉,中期中葉,Early Middle Jomon,Mid Middle Jomon,Early Middle Jomon~Mid Middle Jomon,-5415,-4735,-5075,,,,,,,,,,,,,,4,no,"More than 6 main pillars, but as the depths are different, it's thought that additional pillars could have come from rebuilding. Depths aren't provided for postholes, making it impossible to determine which posts are associated with which phases. Unable to determine width due to erosion.",
P146-1005-1,5号住居跡,S146,1005,1,4.8,4.23,,oval,隅丸方形,MainWall,5,n,中期後半,中期後半,中期後半,Middle Jomon Latter Half,Middle Jomon Latter Half,Middle Jomon Latter Half~Middle Jomon Latter Half,-4905,-4395,-4650,,,,,,,,,,,,,,4,diameter,Wall posts present in drawing but not numbered or labeled.,
P146-1006-1,6号住居跡,S146,1006,1,3.46,2.94,,oval,楕円形,MainWall,4-5,y,中期後半,中期後半,中期後半,Middle Jomon Latter Half,Middle Jomon Latter Half,Middle Jomon Latter Half~Middle Jomon Latter Half,-4905,-4395,-4650,,,,,,,,,,,,,,4,diameter,Possible rebuilding but unsure of which posts would be associated with which build phase.,
P146-1007-1,7号住居跡,S146,1007,1,uk,uk,,uk,uk,uk,4,n,中期後半,中期後半,中期後半,Middle Jomon Latter Half,Middle Jomon Latter Half,Middle Jomon Latter Half~Middle Jomon Latter Half,-4905,-4395,-4650,,,,,,,,,,,,,,4,no,No drawing provided,
P146-1008-1,8号住居跡,S146,1008,1,uk,uk,,uk,円形?,uk,uk,n,uk,uk,uk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,,,,,,,,4,no,"Half of pithouse missing due to erosion, posthole types not provided.",
P147-1002-1,J2号住居跡,S147,1002,1,3.06,2.68,,oval,円形,Main,5,n,中期前半 勝坂1式~勝坂2式,勝坂1式,勝坂2式,Katsuzuka 1,Katsuzuka 2,Katsuzuka 1~Katsuzuka 2,-5310,-5100,-5205,,,,,,,,,,,,,,6,yes,,
P147-1004-1,J4号住居跡,S147,1004,1,3.98,4.16,,oval,不整円形,Main,4,y,勝坂2式,勝坂2式,勝坂2式,Katsuzuka 2,Katsuzuka 2,Katsuzuka 2~Katsuzuka 2,-5230,-5100,-5165,,,,,,,,,,,,,,6,yes,Thought to be a 4 post structure that was rebuilt or expanded. Report doesn't indicate which posts are associated with which building phases.,
P147-1010-1,J10号住居跡,S147,1010,1,5.66,4.82,22.36,oval,楕円形,Main,5,3,加曽利E1式後半~加曽利E2式前半,加曽利E1式後半,加曽利E2式前半,Kasori E1 Late,Kasori E2 Early,Kasori E1 Late~Kasori E2 Early,-4905,-4770,-4837.5,,,,,,,,,,,,,,8,yes,,2 rebuilds at same location
