PostholeID,PithouseID,Original_ID,Added_ID,Adapted_ID,Diameter,Major,Minor,Depth,Scale1m,D_Measure,D_Scaled,FlrLvlDep,FlrLvlDepScale,PostType,D_Ref,Notes
PH146-1002-1-1001,P146-1002-1,P1,,P1,,,,,1.65,0.32,0.1939393939,,0,p,142,Report mentions depths of around 45cm
PH146-1002-1-1002,P146-1002-1,P2,,P2,,,,,1.65,0.17,0.103030303,,0,p,142,Report mentions depths of around 45cm
PH146-1002-1-1003,P146-1002-1,P3,,P3,,,,,1.65,0.19,0.1151515152,,0,p,142,Report mentions depths of around 45cm
PH146-1002-1-1004,P146-1002-1,P4,,P4,,,,,1.65,0.27,0.1636363636,,0,p,142,
PH146-1002-1-1005,P146-1002-1,P5,,P5,,,,,1.65,0.23,0.1393939394,,0,p,142,2 postholes side by side but not given separate IDs. Larger posthole was measured. Report mentions depths of around 45cm
PH146-1002-1-1007,P146-1002-1,P7,,P7,,,,,1.65,0.16,0.09696969697,,0,p,142,Report mentions depths of around 45cm
PH146-1005-1-1001,P146-1005-1,P1,,P1,,,,,1.66,0.28,0.1686746988,,0,p,154,
PH146-1005-1-1002,P146-1005-1,P2,,P2,,,,,1.66,0.25,0.1506024096,,0,p,154,
PH146-1005-1-1003,P146-1005-1,P3,,P3,,,,,1.66,0.16,0.09638554217,,0,p,154,
PH146-1005-1-1004,P146-1005-1,P4,,P4,,,,,1.66,0.23,0.1385542169,,0,p,154,
PH146-1005-1-1005,P146-1005-1,P5,,P5,,,,,1.66,0.3,0.1807228916,,0,p,154,
PH146-1006-1-1001,P146-1006-1,P1,,P1,,,,,1.65,0.27,0.1636363636,,0,p,164,
PH146-1006-1-1002,P146-1006-1,P2,,P2,,,,,1.65,0.14,0.08484848485,,0,p,164,
PH146-1006-1-1003,P146-1006-1,P3,,P3,,,,,1.65,0.15,0.09090909091,,0,p,164,"No depth given, but thought to be a primary post from either initial or possible rebuild phase."
PH146-1006-1-1004,P146-1006-1,P4,,P4,,,,,1.65,0.21,0.1272727273,,0,p,164,
PH146-1006-1-1005,P146-1006-1,P5,,P5,,,,,1.65,0.14,0.08484848485,,0,p,164,"No depth given, but thought to be a primary post from either initial or possible rebuild phase."
PH146-1006-1-1006,P146-1006-1,P6,,P6,,,,,1.65,0.17,0.103030303,,0,p,164,
PH147-1002-1-1001,P147-1002-1,P1,,P1,,,,0.51,1.64,0.13,0.07926829268,,0,p,9,
PH147-1002-1-1002,P147-1002-1,P2,,P2,,,,0.56,1.64,0.28,0.1707317073,,0,p,9,
PH147-1002-1-1003,P147-1002-1,P3,,P3,,,,0.56,1.64,0.23,0.1402439024,,0,p,9,
PH147-1002-1-1004,P147-1002-1,P4,,P4,,,,0.36,1.64,0.15,0.09146341463,,0,p,9,
PH147-1002-1-1005,P147-1002-1,P5,,P5,,,,0.55,1.64,0.2,0.1219512195,,0,p,9,
PH147-1004-1-1001,P147-1004-1,P1,,P1,,,,0.64,1.65,0.47,0.2848484848,,0,p,14,Multiple building phases but postholes aren't attributed to specific phase.
PH147-1004-1-1002,P147-1004-1,P2,,P2,,,,0.58,1.65,0.32,0.1939393939,,0,p,14,Multiple building phases but postholes aren't attributed to specific phase.
PH147-1004-1-1004,P147-1004-1,P4,,P4,,,,0.54,1.65,0.22,0.1333333333,,0,p,14,Multiple building phases but postholes aren't attributed to specific phase.
PH147-1004-1-1005,P147-1004-1,P5,,P5,,,,0.61,1.65,0.24,0.1454545455,,0,p,14,Multiple building phases but postholes aren't attributed to specific phase.
PH147-1004-1-1006,P147-1004-1,P6,,P6,,,,0.5,1.65,0.28,0.1696969697,,0,p,14,Multiple building phases but postholes aren't attributed to specific phase.
PH147-1004-1-1008,P147-1004-1,P8,,P8,,,,0.56,1.65,0.44,0.2666666667,,0,p,14,Multiple building phases but postholes aren't attributed to specific phase.
PH147-1004-1-1010,P147-1004-1,P10,,P10,,,,0.52,1.65,0.46,0.2787878788,,0,p,14,Multiple building phases but postholes aren't attributed to specific phase.
PH147-1004-1-1011,P147-1004-1,P11,,P11,,,,0.42,1.65,0.27,0.1636363636,,0,p,14,Multiple building phases but postholes aren't attributed to specific phase.
PH147-1010-1-1001,P147-1010-1,P1,,P1,,,,0.53,1.64,0.31,0.1890243902,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-1-1002,P147-1010-1,P2,,P2,,,,0.5,1.64,0.36,0.2195121951,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-1-1003,P147-1010-1,P3,,P3,,,,0.44,1.64,0.25,0.1524390244,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-1-1004,P147-1010-1,P4,,P4,,,,0.91,1.64,0.34,0.2073170732,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-1-1006,P147-1010-1,P6,,P6,,,,0.5,1.64,0.34,0.2073170732,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-1-1007,P147-1010-1,P7,,P7,,,,0.86,1.64,0.39,0.237804878,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-1-1008,P147-1010-1,P8,,P8,,,,0.56,1.64,0.34,0.2073170732,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-2-1007,P147-1010-2,P7,,P7,,,,0.86,1.64,0.39,0.237804878,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-2-1009,P147-1010-2,P9,,P9,,,,0.56,1.64,0.66,0.4024390244,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-2-1010,P147-1010-2,P10,,P10,,,,0.98,1.64,0.44,0.2682926829,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase. 2 postholes in same postition, interior posthole measured."
PH147-1010-2-1011,P147-1010-2,P11,,P11,,,,0.68,1.64,0.43,0.262195122,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-2-1013,P147-1010-2,P13,,P13,,,,0.75,1.64,0.51,0.3109756098,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-3-1007,P147-1010-3,P7,,P7,,,,0.86,1.64,0.39,0.237804878,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-3-1012,P147-1010-3,P12,,P12,,,,0.5,1.64,0.39,0.237804878,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-3-1014,P147-1010-3,P14,,P14,,,,0.62,1.64,0.55,0.3353658537,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
PH147-1010-3-1015,P147-1010-3,P15,,P15,,,,0.88,1.64,0.46,0.2804878049,,0,p,7,"2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase. 2 postholes in same postition, interior posthole measured."
PH147-1010-3-1016,P147-1010-3,P16,,P16,,,,0.78,1.64,0.5,0.3048780488,,0,p,7,"P16 difficult to interpret. Possibly 3 interior circumferences shown. 2 rebuilds at same spot, shared same posts in some instances. P5 was recorded at .4m but wasn't assigned a phase"
