,site_name_rom,Latitude,Longitude
1,Ariyoshikita Shellmound,35.56158333,140.1745
2,Chidorikubo Shellmound,35.57730556,139.6891944
3,Gongenbara,35.76036111,139.9147778
4,Horinouchi Shellmound,35.75933333,139.9106389
5,Kainohana Shellmound,35.81447222,139.9413611
6,Kitamura Site,36.33158333,137.9274861
7,Kosaku Old Shellmound,35.72494444,139.9585
8,Koyamadai Shellmound,35.981033,140.093697
9,Kusakari Shellmound,35.53230556,140.1698333
10,Miyamotodai Shellmound,35.70188889,140.0078611
11,Miyazaki Site,36.59477778,138.2488056
12,Nakabyo Shellmound,35.76652778,139.9389722
13,Nakatsuma Shellmound,35.88766667,140.1086667
14,Nego Shellmound,35.76080556,139.9791389
15,North Kasori Shellmound,35.62444444,140.1644444
16,Saihiro Shellmound,35.48611111,140.1263889
17,Satada Shellmound,36.2155,140.3319
18,Shomyoji Shellmound,35.34163889,139.62925
19,Sonno Shellmound,35.62575,140.1064722
20,South Kasori Shellmound,35.62277778,140.1641667
21,Tochibaraiwakage Site,36.061222,138.514917
22,Ubayama Shellmound,35.73761111,139.9653611
23,Uchino Site,35.59438889,140.205
24,Yahagi Shellmound,35.60630556,140.1383889
25,Yamakura Shellmound,35.48913889,140.1312778
