"","UniqueID","site_name_rom","phase_start","phase_end","total_0_4","total_over_5","total_5_19","n","ratio_5_19","ratio_0_5"
"1","Ariyoshikita Shellmound","Ariyoshikita Shellmound",-5415,-4395,0.4,6.6,1.26666666666667,7,0.191919191919192,0.0606060606060606
"2","Chidorikubo Shellmound","Chidorikubo Shellmound",-5415,-4395,0,5,0,5,0,0
"3","Gongenbara.1","Gongenbara",-4490,-4395,0,20,8,20,0.4,0
"4","Horinouchi Shellmound.2","Horinouchi Shellmound",-4235,-3900,0.4,7.6,0.6,8,0.0789473684210526,0.0526315789473684
"5","Kainohana Shellmound.1","Kainohana Shellmound",-4540,-4235,0,5,0.666666666666667,5,0.133333333333333,0
"6","Kainohana Shellmound.2","Kainohana Shellmound",-4490,-4235,4.2,16.8,2.13333333333333,21,0.126984126984127,0.25
"7","Kainohana Shellmound.5","Kainohana Shellmound",-4067,-3643,0,6,0,6,0,0
"8","Kitamura Site","Kitamura Site",-4730,-4540,0,5,1,5,0.2,0
"9","Kitamura Site.1","Kitamura Site",-4730,-4235,0,9,2.66666666666667,9,0.296296296296296,0
"10","Kitamura Site.2","Kitamura Site",-4730,-4050,0,15,2,15,0.133333333333333,0
"11","Kitamura Site.5","Kitamura Site",-4490,-4235,1,18,2.88888888888889,19,0.160493827160494,0.0555555555555556
"12","Kitamura Site.6","Kitamura Site",-4490,-3750,1,8,1,9,0.125,0.125
"13","Kitamura Site.7","Kitamura Site",-4235,-4050,0,26,0,26,0,0
"14","Kitamura Site.9","Kitamura Site",-4235,-3750,0,16,3.88888888888889,16,0.243055555555556,0
"15","Kitamura Site.11","Kitamura Site",-4050,-3750,0,23,5.66666666666667,23,0.246376811594203,0
"16","Kitamura Site.12","Kitamura Site",-3900,-3750,0,9,2,9,0.222222222222222,0
"17","Kosaku Old Shellmound.2","Kosaku Old Shellmound",-4490,-3220,4,25,0,29,0,0.16
"18","Kosaku Old Shellmound.4","Kosaku Old Shellmound",-3900,-3420,0,5,1,5,0.2,0
"19","Koyamadai Shellmound.1","Koyamadai Shellmound",-4490,-3220,0,5,0,5,0,0
"20","Kusakari Shellmound.1","Kusakari Shellmound",-5310,-5270,0.733333333333333,16.266666667,3.93333333333333,17,0.24180327868357,0.045081967212191
"21","Kusakari Shellmound.2","Kusakari Shellmound",-5310,-4860,1,5,1,6,0.2,0.2
"22","Kusakari Shellmound.5","Kusakari Shellmound",-4950,-4860,0.5,8.5,0.5,9,0.0588235294117647,0.0588235294117647
"23","Miyamotodai Shellmound.1","Miyamotodai Shellmound",-4050,-3900,1.63333333333333,29.366666667,4.36666666666667,31,0.148694665151547,0.0556186152093573
"24","Miyazaki Site","Miyazaki Site",-3220,-2385,0.75,7.25,1,8,0.137931034482759,0.103448275862069
"25","Nakabyo Shellmound.1","Nakabyo Shellmound",-4950,-4860,2.4,25.6,6.26666666666667,28,0.244791666666667,0.09375
"26","Nakatsuma Shellmound","Nakatsuma Shellmound",-4490,-3220,14.25,79.75,18.25,94,0.22884012539185,0.178683385579937
"27","Nego Shellmound.1","Nego Shellmound",-5230,-5100,0,6,0,6,0,0
"28","North Kasori Shellmound","North Kasori Shellmound",-5415,-4395,0,5,1,5,0.2,0
"29","Saihiro Shellmound.1","Saihiro Shellmound",-4490,-3220,19.4,18.6,3.6,38,0.193548387096774,1.04301075268817
"30","Saihiro Shellmound.4","Saihiro Shellmound",-4235,-3900,0,8,0,8,0,0
"31","Satada Shellmound","Satada Shellmound",-5415,-4395,0,6,1,6,0.166666666666667,0
"32","Shomyoji Shellmound","Shomyoji Shellmound",-4490,-3220,3.5,7.5,1.5,11,0.2,0.466666666666667
"33","Sonno Shellmound","Sonno Shellmound",-4235,-3900,0.4,7.6,0.6,8,0.0789473684210526,0.0526315789473684
"34","South Kasori Shellmound.1","South Kasori Shellmound",-4235,-4050,1.6,8.4,2.4,10,0.285714285714286,0.19047619047619
"35","South Kasori Shellmound.4","South Kasori Shellmound",-3900,-3420,0.4,5.6,0.6,6,0.107142857142857,0.0714285714285714
"36","Tochibaraiwakage Site","Tochibaraiwakage Site",-15540,-7050,3.5,2.5,0.5,6,0.2,1.4
"37","Ubayama Shellmound","Ubayama Shellmound",-4950,-4490,2.8,19.2,3.53333333333333,22,0.184027777777778,0.145833333333333
"38","Ubayama Shellmound.1","Ubayama Shellmound",-4950,-3420,0.4,4.6,0.6,5,0.130434782608696,0.0869565217391304
"39","Ubayama Shellmound.3","Ubayama Shellmound",-3900,-3420,0,24,5,24,0.208333333333333,0
"40","Uchino Site.1","Uchino Site",-3370,-3130,1,7,0,8,0,0.142857142857143
"41","Yahagi Shellmound.1","Yahagi Shellmound",-4235,-3900,0,8,2,8,0.25,0
"42","Yamakura Shellmound.2","Yamakura Shellmound",-4950,-4490,1,4,2,5,0.5,0.25
