master_id,region,region_number,region_name,region_prefectures,site_name,site_name_dup_fix,site_name_period_mean,site_name_period_mean_round,site_occurances,site_period_occurances,location,specimin_number,sex,sex_unified,age_range,age_min,age_max,age_min_noxon,age_max_noxon,over_5_values,percentage_value_5_19,output_values_5_19,range_value_5_under,output_values_0_5,age_mean,culture_area,period,period_start,period_end,period_range,calBPmax,calBPmin,period_eng,period_min,period_max,period_numeric,period_min_kudo,period_max_kudo,period_min_noxon,period_max_noxon,period_min_neg_noxon,period_max_neg_noxon,period_mean_noxon,period_mean_round_noxon,burial_posture_1,burial_posture_2,cephalic_direction,burial_shape_1,burial_shape_2,burial_postition_location,upper_construction,lower_construction,burial_type,dental_equation,personal_accessories-_contents_location,grave_good_number_of,red_pigment_application_location,bone_lesions_presence_location_description,"injuries_sustained_during_life_presence,_location_description",frontal_suture,interparietal_bone_inca,right_lamboidal_sutural_ossicles,left_lamboidal_sutural_ossicles,right_zygomatic_horizontal_suture_remaining,left_zygomatic_horizontal_suture_remaining,right_supraorbital_foramen,left_supraorbital_foramen,right_condyloid_canal,left_condyloid_canal,right_hypoglossal_canal_bisects,left_hypoglossal_canal_bisects,right_parietal _foramen,left_parietal_foramen,references
1,1: 北海道東部 - East Hokkaido,1,East Hokkaido,East Hokkaido,初日牛２０遺跡,初日牛２０遺跡,#DIV/0!,#DIV/0!,2,153,,１号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,,,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1: 北海道東部 - East Hokkaido,1,East Hokkaido,East Hokkaido,初日牛２０遺跡,初日牛２０遺跡,#DIV/0!,#DIV/0!,2,153,,２号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,,,#N/A,#N/A,#N/A,#N/A,#N/A,#VALUE!,,,,U,#ERROR!,U,#ERROR!,U,U,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1: 北海道東部 - East Hokkaido,1,East Hokkaido,East Hokkaido,東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,第二号墓,遺存状態不良で不明,U,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,仰臥(supine),屈葬(crouched burial),N,単葬(single burial),単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),,,,全身,,,,,,,,,,,,,,,,,釧路市埋蔵文化財センター１９９５
4,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,１号墓出土人骨,遺存状態不良で不明,U,青年期(17-20),17,20,17,20,1,0.75,0.75,0,0,18.5,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,不明,屈葬(crouched burial),ESE,単葬(single burial),単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),,,,全身,,,,,,,,,,,,,,,,,釧路市埋蔵文化財センター１９９５
5,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,２号墓出土人骨,女性,F,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,仰臥(supine),屈葬(crouched burial),SSW,単葬(single burial),単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),,,,下半身,,,,,,,,,,,,,,,,,釧路市埋蔵文化財センター１９９５
6,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,３号墓出土人骨,女性,F,青年期(17-20),17,20,17,20,1,0.75,0.75,0,0,18.5,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,仰臥(supine),屈葬(crouched burial),N,単葬(single burial),単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),,,,全身,,,,,,,,,,,,,,,,,釧路市埋蔵文化財センター１９９５
7,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,４号墓出土人骨,遺存状態不良で不明,U,青年期(17-20),17,20,17,20,1,0.75,0.75,0,0,18.5,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,仰臥(supine),屈葬(crouched burial),WSW,単葬(single burial),単独葬(individual burial),土坑内(earthen pit),確認できます,土壙（無配石）,土坑墓(earthen grave),,,石鏃１,全身,,,,,,,,,,,,,,,,,釧路市埋蔵文化財センター１９９５
8,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,５号墓出土人骨,遺存状態不良で不明,U,青年期(17-20),17,20,17,20,1,0.75,0.75,0,0,18.5,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,仰臥(supine),屈葬(crouched burial),NW,単葬(single burial),単独葬(individual burial),配石下土壙内,確認できます,土壙（無配石）,配石墓(burial with stone alignments),,,スクレーパー２ - 剥片７,全身,,,,,,,,,,,,,,,,,釧路市埋蔵文化財センター１９９５
9,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,７号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",東釧路貝塚,東釧路貝塚,東釧路貝塚-8050,東釧路貝塚-8050,20,19,,８号墓出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,早期(Initial),Initial Jomon,Initial Jomon,Initial Jomon_Initial Jomon,15540,7050,Initial,早期(Initial),早期(Initial),,10000,#ERROR!,10000,#ERROR!,-10000,-6100,-8050,-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
