PostholeID,PithouseID,BuildNum,Length,Width,RecFloor,NewFloor,Shape,ShapeFormula,Rebuild,PillarPosition,PillarConfig,Adapted_ID,D_Scaled,FinalDepth,mean_depth,sd_depth,mean_diameter,sd_diameter,mean_volume,sd_volume,PostDataUsed,Reference,D_Ref
PH146-1002-1-1001,P146-1002-1,1,4.63,4.43,NA,16.40872,円形,oval,n,Main,6,P1,0.1939393939,NA,NA,NA,0.135353535345,0.03788080800939155,NA,NA,diameter,4,142
PH146-1002-1-1002,P146-1002-1,1,4.63,4.43,NA,16.40872,円形,oval,n,Main,6,P2,0.103030303,NA,NA,NA,0.135353535345,0.03788080800939155,NA,NA,diameter,4,142
PH146-1002-1-1003,P146-1002-1,1,4.63,4.43,NA,16.40872,円形,oval,n,Main,6,P3,0.1151515152,NA,NA,NA,0.135353535345,0.03788080800939155,NA,NA,diameter,4,142
PH146-1002-1-1004,P146-1002-1,1,4.63,4.43,NA,16.40872,円形,oval,n,Main,6,P4,0.1636363636,NA,NA,NA,0.135353535345,0.03788080800939155,NA,NA,diameter,4,142
PH146-1002-1-1005,P146-1002-1,1,4.63,4.43,NA,16.40872,円形,oval,n,Main,6,P5,0.1393939394,NA,NA,NA,0.135353535345,0.03788080800939155,NA,NA,diameter,4,142
PH146-1002-1-1007,P146-1002-1,1,4.63,4.43,NA,16.40872,円形,oval,n,Main,6,P7,0.09696969697,NA,NA,NA,0.135353535345,0.03788080800939155,NA,NA,diameter,4,142
PH146-1005-1-1001,P146-1005-1,1,4.8,4.23,NA,16.2432,隅丸方形,oval,n,MainWall,5,P1,0.1686746988,NA,NA,NA,0.14698795181399998,0.03260811712083898,NA,NA,diameter,4,154
PH146-1005-1-1002,P146-1005-1,1,4.8,4.23,NA,16.2432,隅丸方形,oval,n,MainWall,5,P2,0.1506024096,NA,NA,NA,0.14698795181399998,0.03260811712083898,NA,NA,diameter,4,154
PH146-1005-1-1003,P146-1005-1,1,4.8,4.23,NA,16.2432,隅丸方形,oval,n,MainWall,5,P3,0.09638554217,NA,NA,NA,0.14698795181399998,0.03260811712083898,NA,NA,diameter,4,154
PH146-1005-1-1004,P146-1005-1,1,4.8,4.23,NA,16.2432,隅丸方形,oval,n,MainWall,5,P4,0.1385542169,NA,NA,NA,0.14698795181399998,0.03260811712083898,NA,NA,diameter,4,154
PH146-1005-1-1005,P146-1005-1,1,4.8,4.23,NA,16.2432,隅丸方形,oval,n,MainWall,5,P5,0.1807228916,NA,NA,NA,0.14698795181399998,0.03260811712083898,NA,NA,diameter,4,154
PH146-1006-1-1001,P146-1006-1,1,3.46,2.94,NA,8.13792,楕円形,oval,y,MainWall,4-5,P1,0.1636363636,NA,NA,NA,0.109090909085,0.03113995775750818,NA,NA,diameter,4,164
PH146-1006-1-1002,P146-1006-1,1,3.46,2.94,NA,8.13792,楕円形,oval,y,MainWall,4-5,P2,0.08484848485,NA,NA,NA,0.109090909085,0.03113995775750818,NA,NA,diameter,4,164
PH146-1006-1-1003,P146-1006-1,1,3.46,2.94,NA,8.13792,楕円形,oval,y,MainWall,4-5,P3,0.09090909091,NA,NA,NA,0.109090909085,0.03113995775750818,NA,NA,diameter,4,164
PH146-1006-1-1004,P146-1006-1,1,3.46,2.94,NA,8.13792,楕円形,oval,y,MainWall,4-5,P4,0.1272727273,NA,NA,NA,0.109090909085,0.03113995775750818,NA,NA,diameter,4,164
PH146-1006-1-1005,P146-1006-1,1,3.46,2.94,NA,8.13792,楕円形,oval,y,MainWall,4-5,P5,0.08484848485,NA,NA,NA,0.109090909085,0.03113995775750818,NA,NA,diameter,4,164
PH146-1006-1-1006,P146-1006-1,1,3.46,2.94,NA,8.13792,楕円形,oval,y,MainWall,4-5,P6,0.103030303,NA,NA,NA,0.109090909085,0.03113995775750818,NA,NA,diameter,4,164
PH147-1002-1-1001,P147-1002-1,1,3.06,2.68,NA,6.560640000000001,円形,oval,n,Main,5,P1,0.07926829268,0.51,0.508,0.08526429498916885,0.120731707302,0.036939344456125706,0.006555516628680558,0.004402433610877775,yes,6,9
PH147-1002-1-1002,P147-1002-1,1,3.06,2.68,NA,6.560640000000001,円形,oval,n,Main,5,P2,0.1707317073,0.56,0.508,0.08526429498916885,0.120731707302,0.036939344456125706,0.006555516628680558,0.004402433610877775,yes,6,9
PH147-1002-1-1003,P147-1002-1,1,3.06,2.68,NA,6.560640000000001,円形,oval,n,Main,5,P3,0.1402439024,0.56,0.508,0.08526429498916885,0.120731707302,0.036939344456125706,0.006555516628680558,0.004402433610877775,yes,6,9
PH147-1002-1-1004,P147-1002-1,1,3.06,2.68,NA,6.560640000000001,円形,oval,n,Main,5,P4,0.09146341463,0.36,0.508,0.08526429498916885,0.120731707302,0.036939344456125706,0.006555516628680558,0.004402433610877775,yes,6,9
PH147-1002-1-1005,P147-1002-1,1,3.06,2.68,NA,6.560640000000001,円形,oval,n,Main,5,P5,0.1219512195,0.55,0.508,0.08526429498916885,0.120731707302,0.036939344456125706,0.006555516628680558,0.004402433610877775,yes,6,9
PH147-1004-1-1001,P147-1004-1,1,3.98,4.16,NA,13.24544,不整円形,oval,y,Main,4,P1,0.2848484848,0.64,0.54625,0.0686476510887299,0.2045454545375,0.06254474982113928,0.0198443214727293,0.012861161810800662,yes,6,14
PH147-1004-1-1002,P147-1004-1,1,3.98,4.16,NA,13.24544,不整円形,oval,y,Main,4,P2,0.1939393939,0.58,0.54625,0.0686476510887299,0.2045454545375,0.06254474982113928,0.0198443214727293,0.012861161810800662,yes,6,14
PH147-1004-1-1004,P147-1004-1,1,3.98,4.16,NA,13.24544,不整円形,oval,y,Main,4,P4,0.1333333333,0.54,0.54625,0.0686476510887299,0.2045454545375,0.06254474982113928,0.0198443214727293,0.012861161810800662,yes,6,14
