PithouseID,sampled,RunID,NumPhaseStart,NumPhaseEnd
P150-1061-1,-5336,1,-5415,-4395
P151-1010-1,-4876,1,-5415,-4395
P156-1002-1,-4920,1,-4950,-4860
P257-1016-1,-5268,1,-5270,-5230
P257-1024-1,-5141,1,-5230,-5100
P257-1036-1,-5142,1,-5230,-5100
P257-1038-1,-5177,1,-5230,-5100
P260-1001-1,-5267,1,-5270,-5230
P266-1012-1,-5311,1,-5415,-4905
P269-1038-1,-4761,1,-4950,-4490
P269-1059-1,-5200,1,-5230,-5100
P272-1005-1,-4752,1,-4770,-4730
P272-2035-1,-4783,1,-4860,-4730
P272-1032-1,-4795,1,-4860,-4730
P272-1033-1,-4709,1,-4730,-4540
P272-1075-1,-4499,1,-4540,-4490
P150-1061-1,-4999,2,-5415,-4395
P151-1010-1,-4577,2,-5415,-4395
P156-1002-1,-4914,2,-4950,-4860
P257-1016-1,-5257,2,-5270,-5230
P257-1024-1,-5177,2,-5230,-5100
P257-1036-1,-5154,2,-5230,-5100
P257-1038-1,-5194,2,-5230,-5100
P260-1001-1,-5251,2,-5270,-5230
P266-1012-1,-5243,2,-5415,-4905
P269-1038-1,-4494,2,-4950,-4490
P269-1059-1,-5114,2,-5230,-5100
P272-1005-1,-4736,2,-4770,-4730
P272-2035-1,-4792,2,-4860,-4730
P272-1032-1,-4839,2,-4860,-4730
P272-1033-1,-4637,2,-4730,-4540
P272-1075-1,-4503,2,-4540,-4490
P150-1061-1,-5151,3,-5415,-4395
P151-1010-1,-5225,3,-5415,-4395
P156-1002-1,-4949,3,-4950,-4860
P257-1016-1,-5265,3,-5270,-5230
P257-1024-1,-5100,3,-5230,-5100
P257-1036-1,-5145,3,-5230,-5100
P257-1038-1,-5107,3,-5230,-5100
P260-1001-1,-5238,3,-5270,-5230
P266-1012-1,-4998,3,-5415,-4905
P269-1038-1,-4855,3,-4950,-4490
P269-1059-1,-5104,3,-5230,-5100
P272-1005-1,-4764,3,-4770,-4730
P272-2035-1,-4843,3,-4860,-4730
P272-1032-1,-4808,3,-4860,-4730
P272-1033-1,-4645,3,-4730,-4540
P272-1075-1,-4508,3,-4540,-4490
P150-1061-1,-4554,4,-5415,-4395
P151-1010-1,-4967,4,-5415,-4395
P156-1002-1,-4860,4,-4950,-4860
P257-1016-1,-5240,4,-5270,-5230
P257-1024-1,-5168,4,-5230,-5100
P257-1036-1,-5133,4,-5230,-5100
P257-1038-1,-5227,4,-5230,-5100
P260-1001-1,-5234,4,-5270,-5230
P266-1012-1,-4949,4,-5415,-4905
P269-1038-1,-4601,4,-4950,-4490
P269-1059-1,-5191,4,-5230,-5100
P272-1005-1,-4759,4,-4770,-4730
P272-2035-1,-4850,4,-4860,-4730
P272-1032-1,-4762,4,-4860,-4730
P272-1033-1,-4557,4,-4730,-4540
P272-1075-1,-4504,4,-4540,-4490
P150-1061-1,-5386,5,-5415,-4395
P151-1010-1,-4637,5,-5415,-4395
P156-1002-1,-4878,5,-4950,-4860
P257-1016-1,-5267,5,-5270,-5230
P257-1024-1,-5158,5,-5230,-5100
P257-1036-1,-5219,5,-5230,-5100
P257-1038-1,-5189,5,-5230,-5100
P260-1001-1,-5268,5,-5270,-5230
P266-1012-1,-5226,5,-5415,-4905
P269-1038-1,-4883,5,-4950,-4490
P269-1059-1,-5129,5,-5230,-5100
P272-1005-1,-4760,5,-4770,-4730
P272-2035-1,-4817,5,-4860,-4730
P272-1032-1,-4856,5,-4860,-4730
P272-1033-1,-4556,5,-4730,-4540
P272-1075-1,-4495,5,-4540,-4490
