UniqueID,site_name_rom,phase_start,phase_end,total_0_4,total_over_5,total_5_19,n,ratio_5_19,ratio_0_5,sampled,RunID
Ariyoshikita Shellmound,Ariyoshikita Shellmound,-5415,-4395,0.4,6.6,1.2666666666666666,7,0.19191919191919193,0.060606060606060615,-4947,1
Chidorikubo Shellmound,Chidorikubo Shellmound,-5415,-4395,0,5,0,5,0,0,-4527,1
Gongenbara.1,Gongenbara,-4490,-4395,0,20,8,20,0.4,0,-4406,1
Horinouchi Shellmound.2,Horinouchi Shellmound,-4235,-3900,0.4,7.6,0.6,8,0.07894736842105263,0.052631578947368425,-3931,1
Kainohana Shellmound.1,Kainohana Shellmound,-4540,-4235,0,5,0.6666666666666666,5,0.13333333333333333,0,-4261,1
Kainohana Shellmound.2,Kainohana Shellmound,-4490,-4235,4.2,16.8,2.1333333333333333,21,0.12698412698412698,0.25,-4409,1
Kainohana Shellmound.5,Kainohana Shellmound,-4067,-3643,0,6,0,6,0,0,-3922,1
Kitamura Site,Kitamura Site,-4730,-4540,0,5,1,5,0.2,0,-4702,1
Kitamura Site.1,Kitamura Site,-4730,-4235,0,9,2.6666666666666665,9,0.2962962962962963,0,-4669,1
Kitamura Site.2,Kitamura Site,-4730,-4050,0,15,2,15,0.13333333333333333,0,-4588,1
Kitamura Site.5,Kitamura Site,-4490,-4235,1,18,2.888888888888889,19,0.16049382716049382,0.05555555555555555,-4424,1
Kitamura Site.6,Kitamura Site,-4490,-3750,1,8,1,9,0.125,0.125,-3891,1
Kitamura Site.7,Kitamura Site,-4235,-4050,0,26,0,26,0,0,-4194,1
Kitamura Site.9,Kitamura Site,-4235,-3750,0,16,3.888888888888889,16,0.24305555555555555,0,-3850,1
Kitamura Site.11,Kitamura Site,-4050,-3750,0,23,5.666666666666667,23,0.2463768115942029,0,-4040,1
Kitamura Site.12,Kitamura Site,-3900,-3750,0,9,2,9,0.2222222222222222,0,-3797,1
Kosaku Old Shellmound.2,Kosaku Old Shellmound,-4490,-3220,4,25,0,29,0,0.16,-3501,1
Kosaku Old Shellmound.4,Kosaku Old Shellmound,-3900,-3420,0,5,1,5,0.2,0,-3861,1
Kosaku Small Shellmound,Kosaku Small Shellmound,-4490,-3220,4,25,0,29,0,0.16,-4200,1
Koyamadai Shellmound.1,Koyamadai Shellmound,-4490,-3220,0,5,0,5,0,0,-3760,1
Kusakari Shellmound.1,Kusakari Shellmound,-5310,-5270,0.7333333333333334,16.2666666667,3.933333333333333,17,0.24180327868802906,0.04508196721302237,-5276,1
Kusakari Shellmound.2,Kusakari Shellmound,-5310,-4860,1,5,1,6,0.2,0.2,-4933,1
Kusakari Shellmound.5,Kusakari Shellmound,-4950,-4860,0.5,8.5,0.5,9,0.058823529411764705,0.058823529411764705,-4900,1
Miyamotodai Shellmound.1,Miyamotodai Shellmound,-4050,-3900,1.6333333333333333,29.3666666667,4.366666666666666,31,0.14869466515306617,0.05561861520992552,-3995,1
Miyazaki Site,Miyazaki Site,-3220,-2385,0.75,7.25,1,8,0.13793103448275862,0.10344827586206896,-2426,1
Nakabyo Shellmound.1,Nakabyo Shellmound,-4950,-4860,2.4000000000000004,25.6,6.266666666666667,28,0.24479166666666666,0.09375000000000001,-4867,1
Nakatsuma Shellmound,Nakatsuma Shellmound,-4490,-3220,14.25,79.75,18.25,94,0.22884012539184953,0.1786833855799373,-4294,1
Nego Shellmound.1,Nego Shellmound,-5230,-5100,0,6,0,6,0,0,-5179,1
North Kasori Shellmound,North Kasori Shellmound,-5415,-4395,0,5,1,5,0.2,0,-5266,1
Saihiro Shellmound.1,Saihiro Shellmound,-4490,-3220,19.4,18.6,3.5999999999999996,38,0.19354838709677416,1.0430107526881718,-3490,1
Saihiro Shellmound.4,Saihiro Shellmound,-4235,-3900,0,8,0,8,0,0,-4210,1
Satada Shellmound,Satada Shellmound,-5415,-4395,0,6,1,6,0.16666666666666666,0,-5281,1
Shomyoji Shellmound,Shomyoji Shellmound,-4490,-3220,3.5,7.5,1.5,11,0.2,0.4666666666666667,-3523,1
Sonno Shellmound,Sonno Shellmound,-4235,-3900,0.4,7.6,0.6,8,0.07894736842105263,0.052631578947368425,-4204,1
South Kasori Shellmound.1,South Kasori Shellmound,-4235,-4050,1.6,8.4,2.4,10,0.2857142857142857,0.19047619047619047,-4135,1
South Kasori Shellmound.4,South Kasori Shellmound,-3900,-3420,0.4,5.6,0.6,6,0.10714285714285715,0.07142857142857144,-3794,1
Tochibaraiwakage Site,Tochibaraiwakage Site,-15540,-7050,3.5,2.5,0.5,6,0.2,1.4,-7543,1
Ubayama Shellmound,Ubayama Shellmound,-4950,-4490,2.8,19.2,3.533333333333333,22,0.1840277777777778,0.14583333333333334,-4843,1
Ubayama Shellmound.1,Ubayama Shellmound,-4950,-3420,0.4,4.6,0.6,5,0.13043478260869565,0.08695652173913045,-4452,1
Ubayama Shellmound.3,Ubayama Shellmound,-3900,-3420,0,24,5,24,0.20833333333333334,0,-3703,1
Uchino Site.1,Uchino Site,-3370,-3130,1,7,0,8,0,0.14285714285714285,-3206,1
Yahagi Shellmound.1,Yahagi Shellmound,-4235,-3900,0,8,2,8,0.25,0,-4089,1
Yamakura Shellmound.2,Yamakura Shellmound,-4950,-4490,1,4,2,5,0.5,0.25,-4800,1
