,name,start,end,percent_0_5,over_5_values,percent_5_19
1,A,-15540,-7050,0,1,0
2,A,-15540,-7050,0,1,0
3,B,-15540,-7050,0,1,0
4,B,-15540,-7050,0,1,1
5,C,-15540,-7050,0,1,0
6,D,-15540,-7050,0,1,0
7,E,-7050,-5415,0.75,0.25,0.25
8,F,-7050,-5415,0,1,0
9,G,-7050,-5415,0,1,0
10,G,-7050,-5415,0,1,1
11,H,-7050,-5415,0,1,0
12,I,-5415,-4395,1,0,0
13,J,-5415,-4395,0,1,1
14,K,-5415,-4395,0,1,0
15,L,-5415,-4395,0,1,0
16,L,-5415,-4395,0,1,0
17,L,-5415,-4395,0,1,0
18,L,-5415,-4395,0,1,0
19,L,-5415,-4395,0,1,0
20,L,-5415,-4395,0,1,1
21,M,-5415,-4395,0,1,0
22,M,-5415,-4395,0,1,0
23,N,-5415,-4395,0,1,0
24,N,-5415,-4395,0,1,0
25,O,-5415,-4395,0,1,0
26,P,-5415,-4395,0,1,0
27,P,-5415,-4395,0,1,0.75
28,Q,-5415,-4395,0,1,0
29,Q,-5415,-4395,0,1,0
30,Q,-5415,-4395,0,1,0
31,Q,-5415,-4395,0,1,0
32,Q,-5415,-4395,0,1,0
33,R,-5415,-4395,0,1,0
34,R,-5415,-4395,0,1,0
35,S,-5415,-4395,0,1,0
36,S,-5415,-4395,0,1,0
37,T,-5415,-4395,0,1,0
38,T,-5415,-4395,0.75,0.25,0.25
39,U,-4490,-3220,0,1,0
40,V,-4490,-3220,0,1,0
41,V,-4490,-3220,0,1,1
42,V,-4490,-3220,0,1,0
43,W,-4490,-3220,0,1,0
44,W,-4490,-3220,0,1,0
45,N,-4490,-3220,0,1,0
46,N,-4490,-3220,0,1,0
47,N,-4490,-3220,0,1,0
48,N,-4490,-3220,0,1,0
49,N,-4490,-3220,0,1,0
50,X,-4490,-3220,0,1,0
51,X,-4490,-3220,0.75,0.25,0.25
52,X,-4490,-3220,1,0,0
53,X,-4490,-3220,0,1,1
54,X,-4490,-3220,0,1,0
55,X,-4490,-3220,0,1,0
